diseaseLabel,specialtyLabel
oral hemorrhage,oral and maxillofacial surgery
preconception injury,environmental medicine
dental leakage,oral and maxillofacial surgery
invasive pulmonary aspergillosis,pulmonology
invasive pulmonary aspergillosis,infectious diseases
ectopic atrial tachycardia,cardiology
elbow tendinopathy,rheumatology
depressed skull fracture,neurology
corneal endothelial cell loss,ophthalmology
esophageal cyst,gastroenterology
esophageal cyst,oncology
central auditory disease,neurology
combined malonic and methylmalonic acidemia,endocrinology
combined malonic and methylmalonic acidemia,medical genetics
immune-mediated necrotizing myopathy,neurology
tumor of testis and paratestis,urology
tumor of testis and paratestis,oncology
tumor of testis and paratestis,endocrinology
eosinophilic gastrointestinal disease,gastroenterology
oral cavity neoplasm,oncology
oral cavity neoplasm,oral and maxillofacial surgery
bladder neoplasm,obstetrics and gynaecology
bladder neoplasm,urology
bladder neoplasm,oncology
recurrent pneumonia,infectious diseases
postmenopausal osteoporosis,endocrinology
postmenopausal osteoporosis,rheumatology
congenital dyserythropoietic anemia type I,hematology
urinary system neoplasm,obstetrics and gynaecology
urinary system neoplasm,oncology
female reproductive system neoplasm,obstetrics and gynaecology
female reproductive system neoplasm,oncology
uterine cervix neoplasm,obstetrics and gynaecology
uterine cervix neoplasm,oncology
pharynx neoplasm,oncology
pharynx neoplasm,otolaryngology
pharynx neoplasm,oral and maxillofacial surgery
prostate neoplasm,oncology
uterine neoplasm,obstetrics and gynaecology
uterine neoplasm,oncology
esophageal neoplasm,gastroenterology
esophageal neoplasm,oncology
bile duct neoplasm,gastroenterology
bile duct neoplasm,oncology
Bocavirus infection,infectious diseases
fallopian tube neoplasm,obstetrics and gynaecology
fallopian tube neoplasm,oncology
gastrointestinal neoplasm,gastroenterology
gastrointestinal neoplasm,oncology
nasopharyngeal neoplasm,oncology
nasopharyngeal neoplasm,otolaryngology
nasopharyngeal neoplasm,oral and maxillofacial surgery
pituitary neoplasm,neurology
pituitary neoplasm,oncology
pituitary neoplasm,endocrinology
respiratory tract neoplasm,oncology
respiratory tract neoplasm,pulmonology
urethral neoplasm,obstetrics and gynaecology
urethral neoplasm,urology
urethral neoplasm,oncology
colorectal neoplasm,gastroenterology
colorectal neoplasm,oncology
endometrial neoplasm,obstetrics and gynaecology
endometrial neoplasm,oncology
residual neoplasm,oncology
male breast neoplasm,oncology
male breast neoplasm,dermatology
triple-negative breast neoplasm,oncology
triple-negative breast neoplasm,dermatology
digestive system neoplasm,gastroenterology
digestive system neoplasm,oncology
connective and soft tissue neoplasms,oncology
Reichmann's disease,gastroenterology
Infantile melanodontia,dentistry
chronic hepatitis,gastroenterology
chronic hepatitis,hepatology
chronic hepatitis,infectious diseases
Zanca syndrome,gastroenterology
Zanca syndrome,oncology
Zanca syndrome,medical genetics
embryo loss,obstetrics and gynaecology
entamoebiasis,infectious diseases
tubular sweat gland adenoma,oncology
monochromacy,ophthalmology
"Congenital heart defects, dysmorphic facial features, and intellectual developmental disorder",medical genetics
anaplastic oligodendroglioma,Neurooncology
primary angiitis of the central nervous system,neurology
primary angiitis of the central nervous system,rheumatology
primary angiitis of the central nervous system,angiology
steroid myopathy,neurology
idiopathic chronic fatigue,primary care
idiopathic chronic fatigue,general practice
Shrunken pore syndrome,nephrology
acute respiratory tract infection,infectious diseases
hematologic disorder,hematology
central auditory disease,otolaryngology
urinary fistula,obstetrics and gynaecology
endarteritis,cardiology
capsule opacification,ophthalmology
vestibulocochlear nerve injury,neurology
vestibulocochlear nerve injury,otolaryngology
neutropenic enterocolitis,gastroenterology
myocardial reperfusion injury,cardiology
refractory anemia,hematology
spina bifida cystica,neurology
severe acute malnutrition,nutrition
cholera morbus,gastroenterology
sleep-wake disorder,neurology
multiple pulmonary nodules,oncology
multiple pulmonary nodules,pulmonology
HIV seropositivity,immunology
HIV seropositivity,infectious diseases
postcataract aphakia,ophthalmology
paraneoplastic endocrine syndrome,oncology
paraneoplastic endocrine syndrome,endocrinology
prosthesis-related infection,infectious diseases
metatarsal valgus,rheumatology
incomplete abortion,obstetrics and gynaecology
periodontal attachment loss,oral and maxillofacial surgery
congenital lower extremity deformity,rheumatology
post-head injury coma,neurology
central nervous system venous angioma,cardiology
central nervous system venous angioma,neurology
central nervous system venous angioma,oncology
hypertensive intracranial hemorrhage,cardiology
hypertensive intracranial hemorrhage,neurology
secondary headache disorder,neurology
end-stage liver disease,gastroenterology
breast cancer lymphedema,angiology
urogenital trichomonas,obstetrics and gynaecology
urogenital trichomonas,infectious diseases
ruptured aneurysm,cardiology
lingual nerve injury,neurology
lingual nerve injury,oral and maxillofacial surgery
acquired nose deformity,otolaryngology
acquired nose deformity,pulmonology
maxillofacial injury,neurology
talipes,rheumatology
urinary bladder fistula,obstetrics and gynaecology
urinary bladder fistula,urology
Secernentea infection,infectious diseases
fungal eye infection,ophthalmology
fungal eye infection,infectious diseases
recurrent laryngeal nerve injury,neurology
recurrent laryngeal nerve injury,otolaryngology
recurrent laryngeal nerve injury,pulmonology
ocular paraneoplastic syndrome,ophthalmology
ocular paraneoplastic syndrome,oncology
chemotherapy-induced febrile neutropenia,hematology
avian reticuloendotheliosis,veterinary medicine
spinal osteophytosis,rheumatology
bone retroversion,rheumatology
acquired foot deformity,rheumatology
orbital myositis,neurology
orbital myositis,ophthalmology
orbital myositis,rheumatology
lymphatic abnormality,angiology
hepatic echinococcosis,gastroenterology
hepatic echinococcosis,infectious diseases
oral fistula,oral and maxillofacial surgery
prenatal injury,obstetrics and gynaecology
spastic paraparesis,neurology
supraglottitis,otolaryngology
supraglottitis,pulmonology
graft pancreatitis,gastroenterology
cerebrovascular trauma,cardiology
cerebrovascular trauma,neurology
traumatic intracranial hemorrhage,cardiology
traumatic intracranial hemorrhage,neurology
bone anteversion,rheumatology
mediastinal cyst,oncology
mediastinal cyst,pulmonology
castration-resistant prostatic neoplasm,urology
castration-resistant prostatic neoplasm,oncology
atypical squamous cells of the cervix,obstetrics and gynaecology
atypical squamous cells of the cervix,oncology
gastric fistula,gastroenterology
immunoblastic lymphadenopathy,immunology
immunoblastic lymphadenopathy,angiology
artificial lens implant migration,ophthalmology
unilateral breast neoplasm,oncology
unilateral breast neoplasm,dermatology
tick toxicosis,medical toxicology
glomus jugulare tumor,oncology
stomach rupture,gastroenterology
hip contracture,rheumatology
Lynch syndrome II,oncology
Lynch syndrome II,medical genetics
traumatic subarachnoid hemorrhage,cardiology
traumatic subarachnoid hemorrhage,neurology
peritoneal panniculitis,gastroenterology
peritoneal panniculitis,rheumatology
traumatic brain stem hemorrhage,cardiology
traumatic brain stem hemorrhage,neurology
silicotuberculosis,pulmonology
spinal osteochondrosis,rheumatology
osteochondropathy,rheumatology
perinephritis,obstetrics and gynaecology
perinephritis,urology
Hereditary persistence of fetal hemoglobin,hematology
Jansky–Bielschowsky disease,endocrinology
beer alcoholism,alcohology
beer alcoholism,narcology
pylorospasm,gastroenterology
Cornea plana 2,medical genetics
porocephaliasis,infectious diseases
Rhabditida infectious disease,infectious diseases
lip cancer,oncology
lattice corneal dystrophy,ophthalmology
brain compression,neurology
setariosis,veterinary medicine
setariosis,infectious diseases
short rib – polydactyly syndrome,medical genetics
Hamman's syndrome,pulmonology
Taeniasis saginata,infectious diseases
toxascariasis,infectious diseases
trichostrongyloidosis,infectious diseases
Helicobacter pylori infectious disease,gastroenterology
Helicobacter pylori infectious disease,infectious diseases
chromosomal disease,medical genetics
chronic tonsillitis,pulmonology
cementoma,oncology
Hashimoto's encephalopathy,neurology
2p15-16.1 microdeletion syndrome,medical genetics
"49,XXXXY",medical genetics
AIDS-related complex,immunology
AIDS-related complex,infectious diseases
AIDS-related lymphoma,immunology
AIDS-related lymphoma,oncology
AIDS-related lymphoma,angiology
AL amyloidosis,endocrinology
abdominal compartment syndrome,emergency medicine
Periodontal abscess,dentistry
acinar cell carcinoma,oncology
Acne miliaris necrotica,dermatology
acute basophilic leukemia,oncology
Acute eosinophilic leukemia,oncology
acute fatty liver of pregnancy,obstetrics
acute motor axonal neuropathy,neurology
acute myelomonocytic leukemia,oncology
adenomyoepithelioma of the breast,pathology
adenomyoepithelioma of the breast,oncology
Adnexal and skin appendage neoplasms,oncology
African tick-bite fever,infectious diseases
natural killer cell leukemia,oncology
aggressive periodontitis,gastroenterology
airsickness,emergency medicine
Loeffler endocarditis,cardiology
Albright's hereditary osteodystrophy,endocrinology
Aldolase A deficiency,endocrinology
alphavirus infections,infectious diseases
Alternariosis,dermatology
Alternariosis,infectious diseases
"extranodal NK/T-cell lymphoma, nasal type",oncology
angioimmunoblastic T-cell lymphoma,oncology
anopsia,ophthalmology
arteriolosclerosis,cardiology
arthritis mutilans,rheumatology
fallopian tube cancer,oncology
Autosensitization dermatitis,dermatology
Avellis syndrome,neurology
axillary nerve palsy,emergency medicine
bagassosis,pulmonology
Bellini duct carcinoma,obstetrics and gynaecology
Bellini duct carcinoma,urology
Bellini duct carcinoma,oncology
birdshot chorioretinopathy,ophthalmology
blastocystosis,infectious diseases
blue toe syndrome,cardiology
Bohring-Opitz,medical genetics
Boomerang dysplasia,medical genetics
Bruns apraxia,neurology
Buccal bifurcation cyst,"Oral surgery, oral medicine, and oral pathology"
CNS demyelinating autoimmune diseases,neurology
CNS demyelinating autoimmune diseases,immunology
calcifying odontogenic cyst,oncology
calcifying odontogenic cyst,rheumatology
calcifying odontogenic cyst,oral and maxillofacial surgery
Candidal intertrigo,infectious diseases
carbamoyl phosphate synthetase I deficiency disease,neurology
carbamoyl phosphate synthetase I deficiency disease,endocrinology
carbamoyl phosphate synthetase I deficiency disease,medical genetics
catastrophic antiphospholipid syndrome,otolaryngology
catastrophic antiphospholipid syndrome,rheumatology
catastrophic antiphospholipid syndrome,intensive care medicine
cerebroretinal microangiopathy with calcifications and cysts,medical genetics
cerebrospinal fluid leak,neurology
cervical polyp,urology
squamous cell thyroid carcinoma,oncology
chemical eye injury,neurology
Chronic phase chronic myelogenous leukemia,oncology
Chronic progressive lymphedema,equine medicine
chronic traumatic encephalopathy,neurology
chronic traumatic encephalopathy,sports medicine
Raynaud syndrome,immunology
adenocarcinoma in situ,oncology
clear cell adenofibroma,oncology
cellular ependymoma,oncology
acute T cell leukemia,oncology
trigeminal nerve disease,neurology
sebaceous gland neoplasm,oncology
sebaceous gland neoplasm,dermatology
composite lymphoma,immunology
composite lymphoma,oncology
composite lymphoma,angiology
testis seminoma,oncology
anterolateral myocardial infarction,cardiology
pancreatic cholera,gastroenterology
pancreatic cholera,oncology
pancreatic cholera,endocrinology
nodular episcleritis,neurology
urethral benign neoplasm,obstetrics and gynaecology
urethral benign neoplasm,urology
urethral benign neoplasm,oncology
eccrine porocarcinoma,oncology
olfactory groove meningioma,neurology
olfactory groove meningioma,oncology
myotonic cataract,neurology
transient retinal arterial occlusion,neurology
barbiturate abuse,psychiatry
barbiturate abuse,narcology
gum cancer,oncology
subacute delirium,psychiatry
Hodgkin's granuloma,oncology
alcoholic gastritis,gastroenterology
leukoplakia of penis,urology
disseminated chorioretinitis,neurology
eye carcinoma in situ,oncology
lower lip cancer,oncology
primary thrombocytopenia,hematology
cervix uteri carcinoma in situ,oncology
larynx carcinoma in situ,oncology
lower gum cancer,oncology
mucocutaneous leishmaniasis,infectious diseases
amino acid metabolic disorder,endocrinology
amino acid metabolic disorder,medical genetics
splenic tuberculosis,infectious diseases
urethral false passage,urology
urethral diverticulum,urology
gonococcal iridocyclitis,infectious diseases
infectious anterior uveitis,neurology
cholesteatoma of external ear,neurology
unilateral hypoactive labyrinth,neurology
simple chronic conjunctivitis,neurology
nasopharyngeal disease,otolaryngology
nasopharyngeal disease,oral and maxillofacial surgery
congenital nystagmus,neurology
oral mucosa leukoplakia,gastroenterology
rosacea conjunctivitis,neurology
occlusion of gallbladder,gastroenterology
central corneal ulcer,neurology
tertiary neurosyphilis,infectious diseases
Upshaw Schulman Syndrome,rheumatology
skin neoplasm,oncology
Streptocerciasis,infectious diseases
Streptocerciasis,tropical medicine
latent schizophrenia,psychiatry
Pneumocystis infectious disease,infectious diseases
ileal disease,gastroenterology
cryptococcal meningitis,neurology
abdominal cancer,oncology
endemic African Kaposi's sarcoma,oncology
pulmonary cryptococcosis,infectious diseases
jejunal disease,gastroenterology
Reoviridae infectious disease,infectious diseases
perinatal disease,pediatrics
Ciliophora infectious disease,infectious diseases
benign monoclonal gammopathy,immunology
benign monoclonal gammopathy,hematology
infant nutrition disorder,nutrition
desmoplastic medulloblastoma,oncology
brain hypoxia-ischemia,cardiology
brain hypoxia-ischemia,neurology
head and neck neoplasms,oncology
krebs 2 carcinoma,oncology
neurotic disorder,psychiatry
neurotic disorder,psychology
Roseolovirus infectious disease,infectious diseases
anaplastic thyroid carcinoma,oncology
carcinoma in situ of respiratory system,oncology
choking,emergency medicine
gram-negative bacterial infection,infectious diseases
non-celiac gluten sensitivity,gastroenterology
tubo-ovarian abscess,urology
necrotizing pneumonia,pulmonology
hand and arm congenital deformity,rheumatology
aphantasia,neuropsychology
aphantasia,neurology
spastic ataxia,neurology
acute hemorrhagic cystitis,urology
corneal damage,neurology
corneal damage,ophthalmology
myocardial degeneration,cardiology
chromosome 15q26-qter deletion syndrome,medical genetics
chromosome 16p11.2 duplication syndrome,medical genetics
placental site trophoblastic tumor,obstetrics and gynaecology
placental site trophoblastic tumor,oncology
platelet storage pool deficiency,hematology
Platybasia,rheumatology
pleomorphic fibroma,oncology
plica syndrome,rheumatology
Poorly differentiated thyroid cancer,oncology
posterior ischemic optic neuropathy,ophthalmology
Posterior reversible encephalopathy syndrome,neurology
premature atrial contraction,cardiology
premature atrial contraction,electrophysiology
primary hypertrophic osteoarthropathy,rheumatology
progressive myoclonus epilepsy,neurology
prolidase deficiency,medical genetics
Prosopamnesia,neurology
Prurigo simplex,dermatology
pseudoneurotic schizophrenia,psychiatry
pulmonary injury,pulmonology
dental pulp calcification,gastroenterology
pyogenic liver abscess,gastroenterology
pyrotechnic incidents,emergency medicine
hypoglycemic coma,endocrinology
tapeworm infection,infectious diseases
sarcosinemia,endocrinology
Schöpf–Schulz–Passarge syndrome,medical genetics
sebaceous carcinoma,oncology
sebaceous carcinoma,dermatology
serous cystadenocarcinoma,oncology
sex chromosome disorder,medical genetics
tyrosinemia type II,neurology
tyrosinemia type II,endocrinology
tyrosinemia type II,medical genetics
COACH Syndrome,medical genetics
Spondylo-ocular syndrome,medical genetics
cannabis abuse,psychiatry
gonococcal infectious diseases,infectious diseases
pseudopsychopathic schizophrenia,psychiatry
premature ventricular contraction,cardiology
premature ventricular contraction,electrophysiology
sclerosing encapsulating peritonitis,gastroenterology
macular degeneration,ophthalmology
toxic optic neuropathy,neurology
primary ciliary dyskinesia 21,medical genetics
primary ciliary dyskinesia 29,medical genetics
primary ciliary dyskinesia 11,medical genetics
primary ciliary dyskinesia 28,medical genetics
primary ciliary dyskinesia 8,medical genetics
primary ciliary dyskinesia 2,medical genetics
primary ciliary dyskinesia 24,medical genetics
Bilharzial cor pulmonale,cardiology
Bilharzial cor pulmonale,medical parasitology
"ectrodactyly, ectodermal dysplasia, and cleft lip-palate syndrome 3",medical genetics
hypomyelinating leukodystrophy 11,neurology
hypomyelinating leukodystrophy 5,neurology
hypomyelinating leukodystrophy 7 with or without oligodontia and-or hypogonadotropic hypogonadism,neurology
isolated microphthalmia 1,medical genetics
Hormone-sensitive cancer,oncology
Puberty menorrhagia,obstetrics
Breus' mole,obstetrics
failure of eruption of teeth,oral and maxillofacial surgery
intra-abdominal abscess,infectious diseases
idiopathic normal pressure hydrocephalus,neurology
symptom-depleted schizophrenia,psychiatry
passive–aggressive personality disorder,psychiatry
passive–aggressive personality disorder,psychology
paranoial schizophrenia,psychiatry
hypochondriacal schizophrenia,psychiatry
odontogenic cyst,rheumatology
odontogenic cyst,oral and maxillofacial surgery
ophthalmia nodosa,neurology
Opsismodysplasia,medical genetics
optic nerve hypoplasia,medical genetics
otitis interna,neurology
pancreatic neoplasm,oncology
parasitic pneumonia,pulmonology
parasitic pneumonia,infectious diseases
Parkes Weber syndrome,medical genetics
focal epilepsy,neurology
pelvic floor dysfunction,obstetrics and gynaecology
pelvic neoplasm,oncology
pentalogy of Cantrell,medical genetics
perifolliculitis,dermatology
peripheral T-cell lymphoma,oncology
persistent aura without infarction,neurology
Persistent cloaca,medical genetics
persistent fetal circulation syndrome,pediatrics
persistent pupillary membrane,ophthalmology
pigmentation disorder,dermatology
Pigmented purpuric dermatosis,dermatology
pigmented spindle cell nevus,oncology
pilar sheath acanthoma,oncology
Pipecolic acidemia,endocrinology
Pipecolic acidemia,medical genetics
baropathy,emergency medicine
XYYY syndrome,medical genetics
van Leeuwenhoek's disease,thoracic surgery
Nummular headache,neurology
massive perivillous fibrin deposition,pathology
massive perivillous fibrin deposition,obstetrics
COVID-19-associated acute respiratory distress syndrome,pulmonology
COVID-19-associated acute respiratory distress syndrome,intensive care medicine
purulent meningitis,neurology
purulent meningitis,infectious diseases
spinal leak of cerebrospinal fluid,neurology
cranial leak of cerebrospinal fluid,neurology
Raynaud syndrome,rheumatology
Collagenous spherulosis,pathology
colpocephaly,neurology
colpocephaly,medical genetics
mixed hyperlipidemia,endocrinology
complex and mixed tumor,oncology
Condensing osteitis,rheumatology
Condensing osteitis,"Oral surgery, oral medicine, and oral pathology"
congenital cytomegalovirus infection,pediatrics
congenital dyserythropoietic anemia type IV,hematology
Congenital fourth nerve palsy,ophthalmology
congenital hemolytic anemia,hematology
congenital melanocytic nevus,oncology
congenital melanocytic nevus,dermatology
convergence insufficiency,ophthalmology
convergence insufficiency,optometry
cor triatriatum,medical genetics
Cornea plana 1,medical genetics
corneal perforation,neurology
corneal perforation,ophthalmology
coronary occlusion,cardiology
Couvelaire uterus,obstetrics
cricopharyngeal spasm,otolaryngology
crystal arthropathy,rheumatology
Cushing ulcer,gastroenterology
cutaneous T cell lymphoma,oncology
cutaneous endometriosis,urology
cutaneous endometriosis,dermatology
cystic kidney disease,medical genetics
persistent junctional reciprocating tachycardia,cardiology
idiopathic ventricular tachycardia,cardiology
Diaphanospondylodysostosis,medical genetics
premature atrioventricular junctional contraction,cardiology
Polycystic ovaries-urethral sphincter dysfunction syndrome,urology
fungal sinusitis,pulmonology
breast neoplasm,oncology
breast neoplasm,dermatology
autosomal recessive limb-girdle muscular dystrophy type 2D,neurology
diverticular disease,gastroenterology
pancreatic cyst,gastroenterology
pancreatic cyst,oncology
silicotuberculosis,infectious diseases
